ALERT_PARAMETERS,QUERY_CONTEXT,SAVED_SEARCH_ID
"{channels=[EMAIL, INAPP_NOTIFICATION], frequency=DAILY}","{sortingType=RELEVANCE, keywords=analista de ciberseguridad, spellCheckEnabled=true, searchLocation={com.linkedin.jobs.matching.SpecificSearchLocation={geoLocations=[{geo=urn:li:geo:100506914}]}}, facets={workplaceTypes={selectedValues=[urn:li:workplaceType:2]}}}",4666138481
"{channels=[EMAIL, INAPP_NOTIFICATION], frequency=DAILY}","{sortingType=RELEVANCE, keywords=especialista en ciberseguridad, spellCheckEnabled=true, searchLocation={com.linkedin.jobs.matching.SpecificSearchLocation={geoLocations=[{geo=urn:li:geo:100506914}]}}, facets={workplaceTypes={selectedValues=[urn:li:workplaceType:2]}}}",4666138473
"{channels=[EMAIL, INAPP_NOTIFICATION], frequency=DAILY}","{sortingType=RELEVANCE, keywords=analista, spellCheckEnabled=true, searchLocation={com.linkedin.jobs.matching.SpecificSearchLocation={geoLocations=[{geo=urn:li:geo:100506914}]}}, facets={workplaceTypes={selectedValues=[urn:li:workplaceType:2]}}}",4666138449
"{smartExpansionEnabled=true, channels=[INAPP_NOTIFICATION, EMAIL], frequency=DAILY}","{sortingType=RELEVANCE, keywords=, spellCheckEnabled=true, searchLocation={com.linkedin.jobs.matching.SpecificSearchLocation={geoLocations=[{geo=urn:li:geo:105646813}]}}, facets={workplaceTypes={selectedValues=[urn:li:workplaceType:2]}}}",4508661017
"{smartExpansionEnabled=true, channels=[INAPP_NOTIFICATION, EMAIL], frequency=DAILY}","{keywords=SOC Analyst, spellCheckEnabled=true, searchLocation={com.linkedin.jobs.matching.SpecificSearchLocation={geoLocations=[{geo=urn:li:geo:91000000}]}}, facets={organizations={selectedValues=[urn:li:organization:368396]}, workplaceTypes={selectedValues=[urn:li:workplaceType:2, urn:li:workplaceType:3]}}}",3903823161
"{smartExpansionEnabled=true, channels=[INAPP_NOTIFICATION, EMAIL], frequency=DAILY}","{keywords=Analista de ciberseguridad, spellCheckEnabled=true, searchLocation={com.linkedin.jobs.matching.SpecificSearchLocation={geoLocations=[{geo=urn:li:geo:105646813}]}}, facets={}}",3640070769
"{smartExpansionEnabled=true, channels=[INAPP_NOTIFICATION, EMAIL], frequency=DAILY}","{keywords=Cyber Security Specialist, spellCheckEnabled=true, searchLocation={com.linkedin.jobs.matching.SpecificSearchLocation={geoLocations=[{geo=urn:li:geo:91000000}]}}, facets={organizations={selectedValues=[urn:li:organization:3643]}, workplaceTypes={selectedValues=[urn:li:workplaceType:2]}}}",1741678346
"{smartExpansionEnabled=true, channels=[INAPP_NOTIFICATION, EMAIL], frequency=DAILY}","{keywords=Analista de ciberseguridad, spellCheckEnabled=true, searchLocation={com.linkedin.jobs.matching.SpecificSearchLocation={geoLocations=[{geo=urn:li:geo:91000000}]}}, facets={organizations={selectedValues=[urn:li:organization:3643]}, timePostedRanges={countOnlyValues=[{com.linkedin.common.TimeSpan={duration=1, unit=DAY}}, {com.linkedin.common.TimeSpan={duration=1, unit=WEEK}}, {com.linkedin.common.TimeSpan={duration=30, unit=DAY}}, {com.linkedin.common.TimeRange={}}]}, workplaceTypes={selectedValues=[urn:li:workplaceType:2]}}}",1741678338
