Saved Date,Job Url,Job Title,Company Name
"12/5/24, 1:52 AM",http://www.linkedin.com/jobs/view/4067199465,Beca Ciberseguridad,ACCIONA
"4/9/25, 11:44 AM",http://www.linkedin.com/jobs/view/4073733521,,
"2/7/25, 9:14 AM",http://www.linkedin.com/jobs/view/4141448283,Security Operations Center Analyst I,Jobs via Dice
"6/13/24, 3:14 AM",http://www.linkedin.com/jobs/view/3903738596,Security Architect,TUI
"5/14/25, 5:02 AM",http://www.linkedin.com/jobs/view/4069815516,,
"5/31/24, 2:46 PM",http://www.linkedin.com/jobs/view/3925959613,Cyber Threat Researcher,Okta
"2/24/25, 12:22 PM",http://www.linkedin.com/jobs/view/4079656451,Analista Ciberseguridad (SOC L2),Devoteam
"6/15/24, 8:06 AM",http://www.linkedin.com/jobs/view/3922083068,Cybersecurity Cloud Developer- 100% remoto,RDT
"12/21/24, 1:58 AM",http://www.linkedin.com/jobs/view/4079751994,Security Analyst - Bug Bounty,NCC Group
"5/30/24, 11:41 AM",http://www.linkedin.com/jobs/view/3917572805,SOC Analyst,EDNON
"1/8/25, 3:31 AM",http://www.linkedin.com/jobs/view/4099250010,Cybersecurity Consultant - Cyber Risk Strategy,A2SECURE
"9/13/24, 5:00 AM",http://www.linkedin.com/jobs/view/3886243763,Administración SIEM (Ciberseguridad) | Teletrabajo,ALTEN Spain
