Date,Type,Link
2025-08-29 08:36:52,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7366901957669588993?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7366901957669588993%2C7366902795276316673%29
2025-08-29 08:35:51,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7366756440977383427
2025-08-28 14:10:22,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7366748279650390018?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7366748279650390018%2C7366772682710847489%29
2025-08-28 14:10:04,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7366748279650390018
2025-08-25 14:13:30,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7363970070340874241
2025-08-25 08:14:02,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7363992904182206466
2025-08-22 08:38:13,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7363155310028406784
2025-08-21 12:19:04,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7363944391641612288
2025-08-21 11:23:16,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7363927601662287872
2025-08-21 11:23:05,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7363914630361939971
2025-08-21 11:13:20,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7364191388206272512?commentUrn=urn%3Ali%3Acomment%3A%28ugcPost%3A7364191388206272512%2C7364230465639038976%29
2025-08-21 08:56:12,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7363500468808962050
2025-08-21 07:33:15,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7364191388206272512
2025-08-21 07:22:24,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7363914087627378688
2025-08-21 07:19:24,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7363915189966069762
2025-08-21 07:18:45,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7363707328069603329
2025-08-21 07:16:51,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7363185449906888704
2025-08-21 07:16:40,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7363913638065102849
2025-08-21 07:14:55,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7363519027496808451
2025-08-20 12:28:32,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7363683278559555585
2025-08-18 12:49:31,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7362860059527159810
2025-08-18 11:19:06,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7363105279124684801
2025-08-16 14:16:22,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7362133721153523714
2025-08-14 23:32:35,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7361798369603641345
2025-08-14 10:36:19,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7360889444171722752
2025-08-13 14:27:08,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7232664481879756800
2025-08-13 14:26:56,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7280515263777636354
2025-08-13 14:26:17,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7355869711860953089
2025-08-13 14:24:50,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7361024653911388160
2025-08-12 06:32:30,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7360647493941960710
2025-08-12 06:31:53,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7357161239623434241
2025-08-12 06:31:03,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7358028948816936961
2025-08-11 14:24:01,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7360619000709427202
2025-08-11 14:23:38,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7355784749333798913
2025-08-11 14:22:34,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7360422674667331584
2025-08-10 01:01:57,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7360021064866746368
2025-08-08 21:09:24,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7357776520775380993
2025-08-08 21:04:09,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7359642509066522624
